template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Tagihan SPP Mahasiswa,INCOME,OPERATING,SIMPLE,Membuat tagihan SPP per semester untuk mahasiswa,false,true,1,0,,Gunakan template ini untuk mencatat pengakuan tagihan SPP (Sumbangan Pembinaan Pendidikan) per semester. Menambah piutang SPP dan pendapatan SPP.,spp|tuition|tagihan|semester|mahasiswa|student|biaya kuliah|uang kuliah,,500000,50000000,
Pembayaran SPP,RECEIPT,OPERATING,SIMPLE,Mencatat pembayaran SPP dari mahasiswa (lunas atau cicilan),false,true,1,0,,Gunakan template ini untuk mencatat penerimaan pembayaran SPP dari mahasiswa. Mengurangi piutang SPP dan menambah kas/bank. Bisa untuk pembayaran lunas maupun cicilan.,pembayaran spp|bayar spp|tuition payment|cicilan spp|pelunasan spp|mahasiswa bayar,Bank BCA|Bank Mandiri|Bank BNI|Virtual Account|Midtrans,100000,50000000,
Tagihan Uang Pangkal,INCOME,OPERATING,SIMPLE,Membuat tagihan uang pangkal untuk mahasiswa baru,false,true,1,0,,Gunakan template ini untuk mencatat tagihan uang pangkal (biaya masuk) untuk mahasiswa baru. Ditagihkan satu kali saat pendaftaran.,uang pangkal|registration fee|biaya masuk|mahasiswa baru|enrollment|daftar ulang,,1000000,100000000,
Pembayaran Uang Pangkal,RECEIPT,OPERATING,SIMPLE,Mencatat pembayaran uang pangkal dari mahasiswa baru,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan pembayaran uang pangkal dari mahasiswa baru. Mengurangi piutang dan menambah kas/bank.,pembayaran uang pangkal|bayar daftar ulang|registration payment|enrollment payment,Bank BCA|Bank Mandiri|Bank BNI|Virtual Account,1000000,100000000,
Tagihan Biaya Praktikum,INCOME,OPERATING,SIMPLE,Membuat tagihan biaya praktikum per semester,false,true,1,0,,Gunakan template ini untuk mencatat tagihan biaya praktikum laboratorium per semester.,praktikum|lab|laboratorium|biaya praktikum|lab fee,,100000,10000000,
Pembayaran Biaya Praktikum,RECEIPT,OPERATING,SIMPLE,Mencatat pembayaran biaya praktikum dari mahasiswa,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan pembayaran biaya praktikum dari mahasiswa.,pembayaran praktikum|bayar praktikum|lab payment,Bank BCA|Bank Mandiri|Bank BNI|Virtual Account,100000,10000000,
Tagihan Wisuda,INCOME,OPERATING,SIMPLE,Membuat tagihan biaya wisuda untuk mahasiswa lulus,false,true,1,0,,Gunakan template ini untuk mencatat tagihan biaya wisuda untuk mahasiswa yang akan lulus.,wisuda|graduation|biaya wisuda|lulus|yudisium,,500000,10000000,
Pembayaran Wisuda,RECEIPT,OPERATING,SIMPLE,Mencatat pembayaran biaya wisuda dari mahasiswa,false,true,1,0,,Gunakan template ini untuk mencatat penerimaan pembayaran biaya wisuda dari mahasiswa.,pembayaran wisuda|bayar wisuda|graduation payment,Bank BCA|Bank Mandiri|Bank BNI|Virtual Account,500000,10000000,
Beasiswa Prestasi,EXPENSE,OPERATING,SIMPLE,Memberikan beasiswa untuk mahasiswa berprestasi (mengurangi tagihan),false,true,1,0,,Gunakan template ini untuk mencatat pemberian beasiswa prestasi. Mengurangi piutang SPP mahasiswa (bukan pembayaran kas).,beasiswa|scholarship|prestasi|achievement|potongan spp|diskon spp,,500000,50000000,
Beasiswa Tidak Mampu,EXPENSE,OPERATING,SIMPLE,Memberikan beasiswa untuk mahasiswa kurang mampu (mengurangi tagihan),false,true,1,0,,Gunakan template ini untuk mencatat pemberian beasiswa tidak mampu/bantuan biaya pendidikan. Mengurangi piutang SPP mahasiswa.,beasiswa|scholarship|bantuan|tidak mampu|need-based|subsidi|bidikmisi|kip,,500000,50000000,
