template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik,false,true,1,0,,Gunakan template ini untuk mencatat setoran modal dari pemilik ke usaha kedai kopi.,modal|capital|setoran|investasi pemilik|equity,,1000000,5000000000,
Pembelian Bahan Baku - Tunai,EXPENSE,OPERATING,SIMPLE,Pembelian bahan baku dengan pembayaran tunai,false,true,1,0,,Gunakan template ini untuk mencatat pembelian bahan baku (kopi/susu/gula/sirup/cup) secara tunai. Menambah persediaan bahan baku.,bahan baku|raw material|kopi|coffee|susu|milk|gula|sugar|sirup|syrup|cup|lid|sedotan|beli tunai|cash,Toko Bahan Kopi|Supplier Susu|Pasar|Toserba|Tokopedia|Shopee,10000,20000000,
Pembelian Bahan Baku - Kredit,EXPENSE,OPERATING,SIMPLE,Pembelian bahan baku dengan hutang ke supplier,false,true,1,0,,Gunakan template ini untuk mencatat pembelian bahan baku secara kredit (hutang ke supplier). Menambah persediaan dan hutang usaha.,bahan baku|raw material|kredit|hutang|supplier|kopi|susu|gula|beli kredit,Supplier Kopi|Distributor Susu|Supplier Bahan,100000,50000000,
Produksi Barang Jadi,TRANSFER,OPERATING,SIMPLE,Mencatat hasil produksi dari bahan baku ke barang jadi,false,true,1,0,,Gunakan template ini untuk mencatat konversi bahan baku menjadi barang jadi berdasarkan BOM (Bill of Materials). Memindahkan nilai dari persediaan bahan baku ke persediaan barang jadi.,produksi|production|bom|bill of materials|barang jadi|finished goods|konversi|olahan,,1000,10000000,
Penjualan Tunai + COGS,INCOME,OPERATING,DETAILED,Penjualan tunai dengan perhitungan HPP otomatis,false,true,1,0,,Gunakan template ini untuk mencatat penjualan tunai di kedai kopi dengan otomatis menghitung HPP (Harga Pokok Penjualan/COGS). Variabel: amount (harga jual) dan cogs (HPP).,penjualan|sales|tunai|cash|pos|kasir|kedai|warung|kopi|coffee|minuman|makanan|snack,Pelanggan Walk-in|GrabFood|GoFood|ShopeeFood,5000,5000000,
Bayar Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji karyawan bulanan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran gaji karyawan kedai kopi (barista/kasir/cleaning). Termasuk gaji harian maupun bulanan.,gaji|salary|upah|honor|barista|kasir|karyawan|staff|payroll,Transfer Gaji|BCA|Mandiri|BNI|BRI,500000,20000000,
Bayar Sewa,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa tempat usaha,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran sewa tempat usaha kedai kopi. Termasuk sewa ruko/kios/booth.,sewa|rent|tempat|ruko|kios|booth|lokasi|sewa bulanan,Pemilik Ruko|Manajemen Mall|Pemilik Gedung,500000,30000000,
Bayar Listrik,EXPENSE,OPERATING,SIMPLE,Pembayaran listrik bulanan,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran tagihan listrik kedai kopi. Termasuk token listrik prabayar.,listrik|electricity|pln|token|utility,PLN|PLN Mobile|Tokopedia PLN,50000,5000000,.*pln.*|.*listrik.*
Pembelian Persediaan,EXPENSE,OPERATING,SIMPLE,"Template untuk mencatat pembelian persediaan/barang. Variabel: amount (total pembelian)",true,true,1,0,,Template sistem untuk mencatat pembelian persediaan bahan baku. Digunakan oleh fitur inventory management.,pembelian|purchase|persediaan|inventory|stock|bahan,,10000,50000000,
Penjualan Persediaan,INCOME,OPERATING,DETAILED,"Template untuk mencatat penjualan persediaan dengan HPP. Variabel: cogsAmount revenueAmount",true,true,1,0,,Template sistem untuk mencatat penjualan dengan otomatis menghitung HPP. Digunakan oleh fitur inventory management.,penjualan|sales|persediaan|inventory|hpp|cogs,,5000,5000000,
Penyesuaian Persediaan Masuk,EXPENSE,OPERATING,SIMPLE,Stock opname lebih - persediaan bertambah,true,true,1,0,,Gunakan template ini ketika stock opname menunjukkan persediaan fisik lebih banyak dari catatan.,stock opname|penyesuaian|adjustment|persediaan lebih|selisih,,100,10000000,
Penyesuaian Persediaan Keluar,EXPENSE,OPERATING,SIMPLE,Stock opname kurang - persediaan berkurang (rusak/hilang),true,true,1,0,,Gunakan template ini ketika stock opname menunjukkan persediaan fisik kurang dari catatan (basi/tumpah/expired/rusak). Termasuk waste bahan baku.,stock opname|penyesuaian|adjustment|persediaan kurang|rusak|expired|waste|basi|tumpah|spoilage,,100,10000000,
Post Gaji Bulanan,EXPENSE,OPERATING,DETAILED,"Posting payroll bulanan. Variabel: grossSalary companyBpjsKes companyBpjsTk (atau companyBpjs) netPay totalBpjs pph21",false,true,1,0,,Template sistem untuk posting hasil payroll bulanan. Dijalankan otomatis dari fitur payroll. Variabel: grossSalary companyBpjsKes companyBpjsTk (atau gabungan companyBpjs) netPay totalBpjs (atau totalBpjsKes totalBpjsTk) pph21.,payroll|gaji|salary|posting gaji|slip gaji,,500000,50000000,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang gaji ke karyawan (transfer gaji bulanan),false,true,1,0,,Gunakan template ini untuk mencatat pembayaran (transfer) gaji bulanan ke karyawan setelah payroll diposting. Mengurangi hutang gaji.,bayar gaji|transfer gaji|hutang gaji|salary payment|payroll payment,Transfer Gaji|BCA|Mandiri,500000,20000000,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran BPJS ke BPJS Kesehatan dan Ketenagakerjaan,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran iuran BPJS ke BPJS Kesehatan dan BPJS Ketenagakerjaan setelah payroll diposting.,bpjs|iuran bpjs|setor bpjs|bpjs kesehatan|bpjs ketenagakerjaan,BPJS Kesehatan|BPJS Ketenagakerjaan,100000,5000000,.*bpjs.*
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan ke kas negara,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPh 21 (pajak penghasilan karyawan) ke kas negara melalui bank persepsi.,pph 21|pajak karyawan|payroll tax|setor pajak|tax payment,DJP|Kas Negara|Bank Persepsi|e-Billing,50000,5000000,
Bayar PPh Final UMKM,EXPENSE,OPERATING,SIMPLE,Pembayaran PPh Final 0.5% UMKM (PP 55/2022),false,true,1,0,,Gunakan template ini untuk mencatat pembayaran PPh Final UMKM 0.5% dari omzet bulanan sesuai PP 55/2022.,pph final|umkm|pp 55|pajak umkm|0.5%|tax payment,DJP|Kas Negara|Bank Persepsi|e-Billing,10000,5000000,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,,Gunakan template ini untuk mencatat biaya administrasi bank bulanan yang dipotong otomatis dari rekening.,admin bank|biaya bank|bank charge|bank fee|administrasi|potongan bank,BCA|Mandiri|Bank Admin,5000,100000,.*bank.*
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat transfer dana antar rekening bank sendiri. Tidak ada beban atau pendapatan yang terlibat.,transfer|pindah buku|antar bank|antar rekening|overbooking,,100000,500000000,
Bayar Beban Operasional,EXPENSE,OPERATING,SIMPLE,Pembayaran beban operasional umum,false,true,1,0,,Gunakan template ini untuk mencatat beban operasional umum yang tidak termasuk kategori spesifik lainnya. Termasuk ATK/perlengkapan/transport/konsumsi.,operasional|operational|atk|supplies|transport|konsumsi|perlengkapan,Tokopedia|Shopee|Indomaret|Alfamart,10000,5000000,
Jurnal Manual,TRANSFER,OPERATING,SIMPLE,Template untuk jurnal manual. Pilih akun debit dan kredit saat membuat transaksi,false,true,1,0,,Template untuk membuat jurnal manual dimana user memilih sendiri akun debit dan kredit. Gunakan untuk koreksi atau transaksi yang tidak ada template spesifik.,jurnal manual|manual journal|koreksi|adjustment|penyesuaian|correction,,0,100000000000,
Penjualan Online (GrabFood/GoFood),INCOME,OPERATING,DETAILED,"Penjualan via platform delivery dengan potongan admin. Variabel: grossSales adminFee",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui platform delivery (GrabFood/GoFood/ShopeeFood). Variabel: grossSales (harga jual bruto) dan adminFee (potongan platform).,penjualan|sales|grabfood|gofood|shopeefood|delivery|online|platform,GrabFood|GoFood|ShopeeFood,10000,5000000,.*grab.*|.*gofood.*|.*shopee.*
Pembelian Aset Tetap,EXPENSE,INVESTING,DETAILED,"Pembelian aset tetap (peralatan kopi mesin espresso furniture). Variabel: assetCost",false,true,1,0,,Gunakan template ini untuk mencatat pembelian aset tetap seperti mesin espresso/grinder/oven/furniture. Variabel: assetCost. Aset akan didepresiasi sesuai kebijakan.,aset tetap|fixed asset|peralatan|equipment|furniture|mesin|espresso|grinder|oven,Tokopedia|Shopee|Bhinneka|Supplier Kopi,1000000,200000000,
Penyusutan Aset,EXPENSE,OPERATING,DETAILED,"Template untuk posting penyusutan aset tetap. Variabel: depreciationAmount",false,true,1,0,,Template untuk mencatat penyusutan aset tetap bulanan.,penyusutan|depreciation|aset tetap,,0,100000000,
Jurnal Penutup Tahun,TRANSFER,OPERATING,SIMPLE,"Template sistem untuk jurnal penutup akhir tahun buku",false,true,1,0,,Template untuk menutup akun pendapatan dan beban ke laba ditahan pada akhir tahun buku.,jurnal penutup|closing|tutup buku|akhir tahun,,0,100000000000,
Penyelesaian Produksi,EXPENSE,OPERATING,DETAILED,Konversi bahan baku menjadi barang jadi per komponen,false,true,1,0,,Pengakuan konversi bahan baku menjadi barang jadi saat production order selesai. Debit persediaan barang jadi kredit persediaan bahan baku. Variabel componentCost,produksi|production|bom|bahan baku|barang jadi|finished goods,,0,1000000000,
