template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Penjualan Tokopedia,INCOME,OPERATING,DETAILED,"Penjualan via Tokopedia dengan potongan admin. Variabel: grossSales (harga jual) adminFee (potongan)",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui marketplace Tokopedia. Variabel: grossSales (harga jual bruto) dan adminFee (potongan admin Tokopedia). Saldo masuk ke akun Saldo Tokopedia.,penjualan|sales|tokopedia|marketplace|order|pesanan,Tokopedia|Tokped,10000,100000000,.*tokopedia.*|.*tokped.*
Penjualan Shopee,INCOME,OPERATING,DETAILED,"Penjualan via Shopee dengan potongan admin. Variabel: grossSales adminFee",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui marketplace Shopee. Variabel: grossSales dan adminFee. Saldo masuk ke akun Saldo Shopee.,penjualan|sales|shopee|marketplace|order|pesanan,Shopee|ShopeePay,10000,100000000,.*shopee.*
Penjualan Lazada,INCOME,OPERATING,DETAILED,"Penjualan via Lazada dengan potongan admin. Variabel: grossSales adminFee",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui marketplace Lazada. Variabel: grossSales dan adminFee. Saldo masuk ke akun Saldo Lazada.,penjualan|sales|lazada|marketplace|order|pesanan,Lazada,10000,100000000,.*lazada.*
Penjualan Bukalapak,INCOME,OPERATING,DETAILED,"Penjualan via Bukalapak dengan potongan admin. Variabel: grossSales adminFee",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui marketplace Bukalapak. Variabel: grossSales dan adminFee. Saldo masuk ke akun Saldo Bukalapak.,penjualan|sales|bukalapak|marketplace|order|pesanan,Bukalapak|BL,10000,100000000,.*bukalapak.*
Penjualan TikTok Shop,INCOME,OPERATING,DETAILED,"Penjualan via TikTok Shop dengan potongan admin. Variabel: grossSales adminFee",false,true,1,0,,Gunakan template ini untuk mencatat penjualan melalui TikTok Shop. Variabel: grossSales dan adminFee. Saldo masuk ke akun Saldo TikTok Shop.,penjualan|sales|tiktok|tiktok shop|marketplace|order|pesanan,TikTok Shop|TikTok,10000,100000000,.*tiktok.*
Penjualan Offline/COD,INCOME,OPERATING,SIMPLE,Penjualan langsung atau COD tanpa potongan marketplace,false,true,1,0,,Gunakan template ini untuk mencatat penjualan langsung (offline) atau COD yang tidak melalui marketplace. Tidak ada potongan admin. Kas langsung masuk.,penjualan|sales|offline|cod|cash on delivery|langsung|tunai|direct,Pembeli Langsung|COD|Walk-in,10000,100000000,
Penjualan + PPN,INCOME,OPERATING,SIMPLE,Penjualan dengan PPN Keluaran 11%. Amount = DPP + PPN,false,true,1,0,,Gunakan template ini untuk mencatat penjualan dengan PPN Keluaran 11% untuk perusahaan PKP. Amount = DPP + PPN. Sistem otomatis memisahkan DPP dan PPN Keluaran.,penjualan|sales|ppn|vat|pkp|faktur pajak,Reseller|Distributor|Toko,100000,1000000000,
Withdraw Saldo Tokopedia,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Tokopedia ke rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat penarikan saldo dari Tokopedia ke rekening bank perusahaan. Memindahkan saldo dari akun Saldo Tokopedia ke Bank.,withdraw|tarik saldo|pencairan|tokopedia|settlement,Tokopedia,10000,500000000,.*tokopedia.*
Withdraw Saldo Shopee,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Shopee ke rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat penarikan saldo dari Shopee ke rekening bank perusahaan.,withdraw|tarik saldo|pencairan|shopee|settlement,Shopee|ShopeePay,10000,500000000,.*shopee.*
Withdraw Saldo Lazada,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Lazada ke rekening bank,false,true,1,0,,Gunakan template ini untuk mencatat penarikan saldo dari Lazada ke rekening bank perusahaan.,withdraw|tarik saldo|pencairan|lazada|settlement,Lazada,10000,500000000,.*lazada.*
